@relation caracteristicas

@attribute cima numeric
@attribute baixo numeric
@attribute esquerda numeric
@attribute direita numeric
@attribute DES numeric
@attribute DEI numeric
@attribute DDS numeric
@attribute DDI numeric
@attribute altura numeric
@attribute largura numeric
@attribute convex numeric
@attribute class {A, B, C, D, E, F, G}

@data
4424.0,4330.0,5612.0,5630.0,8285.0,7729.0,7717.0,8327.0,165,245,10262,A
90.0,69.0,68.0,83.0,211.0,202.0,210.0,211.0,291,387,38755,B
171.0,137.0,157.0,189.0,440.0,415.0,443.0,439.0,307,523,35027,B
250.0,214.0,236.0,265.0,656.0,610.0,656.0,652.0,283,427,34505,B
322.0,284.0,330.0,367.0,881.0,838.0,887.0,881.0,299,547,30533,B
404.0,368.0,388.0,428.0,1076.0,1046.0,1086.0,1087.0,291,323,46785,B
452.0,423.0,466.0,496.0,1252.0,1221.0,1257.0,1270.0,243,387,25354,B
553.0,536.0,549.0,582.0,1504.0,1465.0,1505.0,1522.0,315,395,59289,B
639.0,604.0,638.0,682.0,1736.0,1678.0,1741.0,1774.0,299,539,37642,B
690.0,663.0,720.0,784.0,1911.0,1859.0,1928.0,1965.0,275,491,22909,B
754.0,735.0,797.0,861.0,2119.0,2068.0,2127.0,2171.0,299,459,26987,B
838.0,802.0,884.0,952.0,2346.0,2279.0,2361.0,2386.0,307,459,31672,B
907.0,874.0,942.0,1018.0,2546.0,2465.0,2556.0,2591.0,283,355,36461,B
976.0,945.0,1000.0,1094.0,2747.0,2658.0,2773.0,2815.0,291,395,35697,B
1049.0,1018.0,1069.0,1162.0,2938.0,2841.0,2965.0,3007.0,275,347,30187,B
1116.0,1086.0,1139.0,1244.0,3133.0,3032.0,3167.0,3207.0,307,431,29853,B
1170.0,1141.0,1232.0,1328.0,3337.0,3231.0,3385.0,3406.0,291,427,23344,B
1227.0,1203.0,1308.0,1400.0,3512.0,3395.0,3560.0,3577.0,251,375,24540,B
1273.0,1250.0,1360.0,1448.0,3656.0,3537.0,3699.0,3714.0,219,315,24247,B
1332.0,1298.0,1413.0,1506.0,3808.0,3695.0,3849.0,3867.0,219,355,26268,B
1382.0,1347.0,1473.0,1576.0,3956.0,3838.0,4002.0,4011.0,219,347,22615,B
1431.0,1400.0,1546.0,1637.0,4113.0,3988.0,4173.0,4170.0,251,371,22070,B
1474.0,1438.0,1612.0,1704.0,4261.0,4116.0,4338.0,4314.0,227,370,20716,B
1530.0,1487.0,1686.0,1773.0,4434.0,4280.0,4508.0,4481.0,243,411,25462,B
1588.0,1535.0,1761.0,1854.0,4608.0,4446.0,4685.0,4649.0,243,411,25385,B
1639.0,1578.0,1840.0,1936.0,4775.0,4598.0,4844.0,4797.0,219,387,20393,B
1692.0,1627.0,1903.0,2007.0,4961.0,4764.0,4999.0,4950.0,259,387,21952,B
1751.0,1675.0,1965.0,2060.0,5113.0,4906.0,5162.0,5106.0,219,339,27083,B
1801.0,1722.0,2033.0,2128.0,5279.0,5067.0,5327.0,5275.0,227,411,21848,B
1846.0,1768.0,2094.0,2201.0,5444.0,5219.0,5496.0,5435.0,219,363,20091,B
1888.0,1817.0,2151.0,2264.0,5584.0,5357.0,5638.0,5584.0,203,363,21031,B
1959.0,1889.0,2231.0,2353.0,5805.0,5549.0,5880.0,5809.0,323,475,31070,B
2035.0,1962.0,2307.0,2439.0,6012.0,5743.0,6109.0,6041.0,331,475,30713,B
2115.0,2018.0,2373.0,2515.0,6209.0,5927.0,6333.0,6272.0,283,451,31249,B
2182.0,2095.0,2485.0,2613.0,6438.0,6153.0,6546.0,6477.0,347,507,36409,B
2238.0,2148.0,2581.0,2703.0,6648.0,6357.0,6744.0,6664.0,307,483,27358,B
2310.0,2205.0,2674.0,2798.0,6858.0,6555.0,6967.0,6871.0,283,467,26309,B
2394.0,2275.0,2773.0,2903.0,7081.0,6763.0,7202.0,7109.0,339,539,31123,B
2463.0,2346.0,2867.0,3007.0,7317.0,6990.0,7441.0,7335.0,347,507,32189,B
2559.0,2417.0,2952.0,3114.0,7540.0,7201.0,7682.0,7566.0,331,475,36747,B
2643.0,2497.0,3041.0,3216.0,7771.0,7420.0,7913.0,7804.0,355,483,36824,B
2709.0,2556.0,3141.0,3313.0,7992.0,7629.0,8149.0,8039.0,347,515,28268,B
2799.0,2642.0,3235.0,3410.0,8246.0,7862.0,8422.0,8317.0,347,507,34241,B
2869.0,2695.0,3324.0,3501.0,8453.0,8063.0,8663.0,8543.0,331,523,30040,B
2929.0,2759.0,3431.0,3608.0,8684.0,8289.0,8902.0,8782.0,339,523,30206,B
2989.0,2814.0,3508.0,3681.0,8869.0,8459.0,9081.0,8962.0,275,411,26638,B
3045.0,2876.0,3574.0,3764.0,9056.0,8650.0,9282.0,9166.0,299,411,24587,B
3105.0,2934.0,3651.0,3842.0,9224.0,8815.0,9468.0,9359.0,283,427,22783,B
3173.0,2993.0,3723.0,3920.0,9414.0,8992.0,9664.0,9553.0,291,419,31893,B
3243.0,3061.0,3786.0,4005.0,9603.0,9160.0,9895.0,9780.0,339,491,40338,B
3305.0,3136.0,3841.0,4095.0,9793.0,9343.0,10103.0,9996.0,299,419,43234,B
3378.0,3209.0,3944.0,4187.0,10023.0,9572.0,10325.0,10217.0,331,515,27634,B
3434.0,3261.0,4041.0,4297.0,10262.0,9796.0,10564.0,10449.0,331,523,26201,B
3500.0,3314.0,4119.0,4383.0,10471.0,9993.0,10784.0,10654.0,299,467,26968,B
3559.0,3370.0,4205.0,4463.0,10668.0,10184.0,10980.0,10859.0,267,435,25858,B
3613.0,3425.0,4267.0,4528.0,10816.0,10341.0,11143.0,11034.0,259,355,22891,B
3667.0,3484.0,4346.0,4611.0,11000.0,10541.0,11339.0,11227.0,283,475,22646,B
3733.0,3537.0,4427.0,4687.0,11183.0,10719.0,11525.0,11419.0,275,427,26030,B
3783.0,3592.0,4507.0,4770.0,11368.0,10906.0,11714.0,11620.0,291,467,24521,B
3852.0,3655.0,4602.0,4854.0,11568.0,11114.0,11916.0,11824.0,299,491,23270,B
3908.0,3707.0,4672.0,4920.0,11738.0,11292.0,12083.0,11990.0,267,403,24930,B
3966.0,3763.0,4742.0,4975.0,11904.0,11462.0,12241.0,12150.0,227,371,27752,B
4012.0,3800.0,4792.0,5036.0,12052.0,11595.0,12385.0,12279.0,227,347,21562,B
31.0,33.0,46.0,44.0,111.0,107.0,107.0,97.0,195,235,8264,C
68.0,71.0,81.0,86.0,220.0,216.0,217.0,209.0,211,235,4856,C
106.0,114.0,119.0,123.0,328.0,318.0,327.0,310.0,195,243,5610,C
151.0,171.0,193.0,206.0,470.0,468.0,505.0,496.0,275,507,20799,C
202.0,221.0,293.0,293.0,669.0,689.0,689.0,678.0,259,547,29337,C
250.0,260.0,361.0,359.0,816.0,855.0,854.0,837.0,219,419,20187,C
289.0,303.0,419.0,420.0,951.0,983.0,993.0,976.0,243,347,13168,C
331.0,345.0,457.0,465.0,1084.0,1114.0,1114.0,1106.0,283,315,10805,C
377.0,391.0,526.0,534.0,1236.0,1269.0,1281.0,1270.0,275,411,10784,C
400.0,432.0,584.0,575.0,1342.0,1415.0,1381.0,1404.0,235,289,24165,C
451.0,475.0,656.0,642.0,1493.0,1557.0,1541.0,1554.0,243,331,29109,C
484.0,518.0,714.0,699.0,1630.0,1698.0,1681.0,1702.0,219,379,10177,C
518.0,562.0,774.0,760.0,1765.0,1827.0,1807.0,1822.0,219,331,11337,C
558.0,595.0,839.0,823.0,1903.0,1951.0,1945.0,1947.0,211,443,21739,C
602.0,639.0,889.0,876.0,2034.0,2078.0,2072.0,2066.0,235,323,11082,C
635.0,669.0,945.0,916.0,2149.0,2196.0,2166.0,2162.0,203,291,9078,C
671.0,703.0,992.0,958.0,2255.0,2294.0,2272.0,2247.0,179,291,11182,C
692.0,734.0,1051.0,996.0,2347.0,2391.0,2355.0,2333.0,166,339,10624,C
717.0,754.0,1078.0,1023.0,2428.0,2456.0,2418.0,2391.0,155,211,8120,C
753.0,785.0,1141.0,1087.0,2546.0,2586.0,2545.0,2515.0,171,387,14196,C
807.0,837.0,1253.0,1184.0,2708.0,2756.0,2719.0,2672.0,163,419,79142,C
866.0,896.0,1344.0,1277.0,2872.0,2932.0,2891.0,2837.0,147,395,68164,C
904.0,931.0,1426.0,1353.0,3027.0,3079.0,3054.0,2998.0,179,443,16052,C
948.0,966.0,1499.0,1433.0,3172.0,3234.0,3211.0,3143.0,195,419,18342,C
970.0,993.0,1548.0,1469.0,3272.0,3335.0,3283.0,3219.0,163,283,11590,C
1010.0,1020.0,1599.0,1509.0,3367.0,3435.0,3376.0,3300.0,179,331,10876,C
1037.0,1046.0,1659.0,1543.0,3483.0,3549.0,3480.0,3383.0,171,331,10889,C
